ID,Problem,Instance,SolverId,ConfigId,Solved,Optimally,Objective,NoSolutions,ElapsedSecs,ID,Timeout,SearchType,SPD,MIF,PropRed,LnsProb,LnsIter
127,soft-queens,soft-queens-8.dzn,4,5,1,1,1,2,0.326574294,5,600000,3,0,0,0,0.3,10
128,soft-queens,soft-queens-8.dzn,1,6,1,1,1,4,0.642532089,6,600000,4,1,0,1,0.3,10
129,soft-queens,soft-queens-8.dzn,6,6,1,1,1,4,0.106346213,6,600000,4,1,0,1,0.3,10
130,soft-queens,soft-queens-16.dzn,0,12,1,1,0,6,0.147604169,12,600000,4,0,0,1,0.3,10
131,soft-queens,soft-queens-16.dzn,4,8,0,0,2147483647,0,0.338523188,8,600000,3,0,1,0,0.3,10
132,soft-queens,soft-queens-8.dzn,5,5,1,1,1,4,0.024768093,5,600000,3,0,0,0,0.3,10
133,soft-queens,soft-queens-16.dzn,0,5,1,1,0,5,0.037378935,5,600000,3,0,0,0,0.3,10
134,soft-queens,soft-queens-16.dzn,6,12,1,1,0,5,0.141992179,12,600000,4,0,0,1,0.3,10
135,soft-queens,soft-queens-16.dzn,0,6,1,1,0,5,0.140571981,6,600000,4,1,0,1,0.3,10
136,soft-queens,soft-queens-8.dzn,0,13,1,1,1,2,0.079039851,13,600000,1,0,1,1,0.3,10
137,soft-queens,soft-queens-30.dzn,1,14,1,1,2,3,10.482944841,14,600000,1,1,0,1,0.3,10
138,soft-queens,soft-queens-8.dzn,5,4,1,1,1,1,0.024895396,4,600000,3,1,1,0,0.3,10
139,soft-queens,soft-queens-8.dzn,6,1,1,1,1,2,0.090173108,1,600000,2,0,1,0,0.3,10
140,soft-queens,soft-queens-16.dzn,0,9,1,1,0,2,0.086636003,9,600000,1,1,1,1,0.3,10
141,soft-queens,soft-queens-16.dzn,1,12,1,1,0,5,0.806700832,12,600000,4,0,0,1,0.3,10
142,soft-queens,soft-queens-8.dzn,0,9,1,1,1,2,0.082123071,9,600000,1,1,1,1,0.3,10
143,soft-queens,soft-queens-8.dzn,6,8,1,1,1,1,0.024432477,8,600000,3,0,1,0,0.3,10
144,soft-queens,soft-queens-16.dzn,0,8,1,1,0,1,0.024793338,8,600000,3,0,1,0,0.3,10
